Index,위도값,경도값,RSE_ID,ExitingCount,EnteringCount,Address,Date
49,36.33218,127.53434,162004882,44860,42677,대한민국 충청북도 옥천군 군북면 이백리 산15-2,2024-04-15
53,36.33218,127.53434,162004882,39756,38028,대한민국 충청북도 옥천군 군북면 이백리 산15-2,2024-04-19
0,37.16678,127.09193,162006064,176233,178568,대한민국 경기도 화성시 송동 425-9,2024-04-13
25,36.49669,127.43066,462005145,74018,73936,대한민국 충청북도 청주시 서원구 현도면 죽전리 51-5,2024-04-22
39,36.61108,127.40018,162005284,57036,54672,대한민국 충청북도 청주시 흥덕구 신전동 157-3,2024-04-17
69,36.30847,127.57572,162004836,22310,22264,대한민국 충청북도 옥천군 옥천읍 문정리 263-1,2024-04-05
91,36.85541,127.18106,162005692,7771,7781,대한민국 충청남도 천안시 서북구 성거읍 요방리 117-3,2024-04-14
34,36.37486,127.43024,162005000,62459,61943,대한민국 대전광역시 대덕구 법동 산14-3,2024-04-04
3,37.12583,127.09694,162006016,136529,135589,대한민국 경기도 평택시 진위면 동천리 602-2,2024-04-10
51,35.877,128.76547,262003406,44403,44109,대한민국 경상북도 경산시 하양읍 청천리 412-3,2024-04-01
6,36.91226,127.18921,162005757,124136,123739,대한민국 충청남도 천안시 서북구 입장면 용정리 51-8,2024-04-20
70,35.87981,128.83829,262003338,30767,30883,대한민국 경상북도 경산시 진량읍 문천리 산26-2,2024-04-01
13,37.37306,127.10556,462006299,111458,113795,대한민국 경기도 성남시 분당구 성남대로407번길 26,2024-04-08
56,37.405833,127.094167,162006338,35842,44510,대한민국 경기도 성남시 분당구 삼평동 418-1,2024-04-20
14,36.80417,127.165,162005633,106903,109149,대한민국 충청남도 천안시 동남구 원성동 81-2,2024-04-21
43,36.34686,127.4713,162004949,56573,58780,대한민국 대전광역시 동구 비룡동 416-1,2024-04-14
40,36.73389,127.28353,162005480,45199,45061,대한민국 충청남도 천안시 동남구 수신면 속창리 143-11,2024-04-12
21,36.72039,127.33097,162005435,77720,77589,대한민국 충청북도 청주시 흥덕구 옥산면 사정리 산22-1,2024-04-20
74,35.87981,128.83829,262003338,29318,29193,대한민국 경상북도 경산시 진량읍 문천리 산26-2,2024-04-09
27,37.01353,127.14477,462005881,73028,71358,대한민국 경기도 안성시 원곡면 경부고속도로 365,2024-04-20
66,35.793205,129.193445,362002920,33501,34472,대한민국 경상북도 경주시 내남면 망성리 15-10,2024-04-15
73,35.793205,129.193445,362002920,26393,26583,대한민국 경상북도 경주시 내남면 망성리 15-10,2024-04-11
9,37.05325,127.13641,162005925,132683,130423,대한민국 경기도 안성시 원곡면 지문리 산133-4,2024-04-14
12,36.942,127.1897,162005789,111237,111265,대한민국 충청남도 천안시 서북구 입장면 가산리 362-15,2024-04-06
5,37.2571,127.10411,162006167,123359,124475,대한민국 경기도 용인시 기흥구 보라동 380-8,2024-04-19
67,35.918066,129.006783,362003161,33230,35006,대한민국 경상북도 영천시 북안면 임포리 385-5,2024-04-15
42,36.3585,127.45505,162004969,53457,53073,대한민국 대전광역시 대덕구 비래동 23-3번지,2024-04-04
57,35.32861,129.05694,262002365,34476,34479,대한민국 경상남도 양산시 동면 내송리 산76-1,2024-04-20
61,35.28722,129.10333,262002305,41024,45967,대한민국 부산광역시 금정구 노포동 1112-8,2024-04-08
24,35.95647,128.45522,262003756,75573,76509,대한민국 경상북도 칠곡군 지천면 연화리 772-11,2024-04-03
2,37.27944,127.10353,162006192,134896,128516,대한민국 경기도 용인시 기흥구 신갈동 384-10,2024-04-18
81,,,462015611,15136,13168,,2024-04-10
71,36.30847,127.57572,162004836,25221,25232,대한민국 충청북도 옥천군 옥천읍 문정리 263-1,2024-04-03
87,36.42691,127.41836,162005062,8312,7708,대한민국 대전광역시 대덕구 상서동 352-7,2024-04-03
8,37.05325,127.13641,162005925,119823,114636,대한민국 경기도 안성시 원곡면 지문리 산133-4,2024-04-22
62,36.15981,128.22747,262004121,25649,26056,대한민국 경상북도 김천시 아포읍 봉산리 1229-11,2024-04-05
4,37.2571,127.10411,162006167,115094,115753,대한민국 경기도 용인시 기흥구 보라동 380-8,2024-04-12
51,37.405833,127.094167,162006338,40200,47199,대한민국 경기도 성남시 분당구 삼평동 418-1,2024-04-03
35,36.73389,127.28353,162005480,75094,74879,대한민국 충청남도 천안시 동남구 수신면 속창리 143-11,2024-04-21
31,36.04974,128.40865,262003880,60651,61191,대한민국 경상북도 칠곡군 석적읍 포남리 597-8,2024-04-05
45,35.27917,129.11472,262002290,50749,47841,대한민국 부산광역시 금정구 선동 560,2024-04-21
12,36.942,127.1897,162005789,108186,108119,대한민국 충청남도 천안시 서북구 입장면 가산리 362-15,2024-04-22
44,35.90045,128.67529,262003501,58451,60424,대한민국 대구광역시 동구 둔산동 594-2,2024-04-08
35,36.37486,127.43024,162005000,78525,78371,대한민국 대전광역시 대덕구 법동 산14-3,2024-04-07
55,35.54778,129.12444,262002639,32132,32213,대한민국 울산광역시 울주군 삼남읍 신화리 산39-3,2024-04-12
17,36.51436,127.42951,162005164,88162,89116,대한민국 충청북도 청주시 서원구 현도면 우록리 773-22,2024-04-02
2,37.15923,127.08844,162006058,146595,149453,대한민국 경기도 오산시 부산동 157-3,2024-04-09
43,36.34686,127.4713,162004949,57787,59554,대한민국 대전광역시 동구 비룡동 416-1,2024-04-21
73,36.281111,127.755556,462004623,24895,24907,대한민국 충청북도 옥천군 청성면 조천리 253,2024-04-19
15,37.31222,127.10583,162006230,93486,88220,대한민국 경기도 용인시 기흥구 보정동 1105-2,2024-04-02
53,36.1362,128.31906,262004031,40622,40439,대한민국 경상북도 구미시 도량동 449,2024-04-20
6,36.88167,127.18917,162005723,127667,127080,대한민국 충청남도 천안시 서북구 성거읍 정촌리 232-38,2024-04-02
61,35.669408,129.175983,362002779,35085,35069,대한민국 울산광역시 울주군 두서면 전읍리 331-3,2024-04-14
36,36.37486,127.43024,162005000,64570,64302,대한민국 대전광역시 대덕구 법동 산14-3,2024-04-11
67,35.793205,129.193445,362002920,25006,24791,대한민국 경상북도 경주시 내남면 망성리 15-10,2024-04-12
82,36.13882,128.06343,262004287,20736,20704,대한민국 경상북도 김천시 봉산면 신리 325-4,2024-04-13
78,36.27095,127.831,262004582,24195,23510,대한민국 충청북도 영동군 용산면 구촌리 13-1,2024-04-16
25,35.90452,128.56087,262003614,74708,70818,대한민국 대구광역시 북구 노곡로3길 23-3,2024-04-04
56,35.54778,129.12444,262002639,41147,41593,대한민국 울산광역시 울주군 삼남읍 신화리 산39-3,2024-04-01
24,35.90452,128.56087,262003614,74139,70279,대한민국 대구광역시 북구 노곡로3길 23-3,2024-04-19
2,37.12583,127.09694,162006016,143909,141982,대한민국 경기도 평택시 진위면 동천리 602-2,2024-04-15
77,36.15056,128.03339,262004318,24292,24348,대한민국 경상북도 김천시 봉산면 태화리 155-4,2024-04-16
39,36.07013,128.37529,262003923,59038,59530,대한민국 경상북도 구미시 오태동 228-2,2024-04-04
90,36.73039,127.26357,162005500,6053,6039,대한민국 충청남도 천안시 동남구 수신면 신풍리 462-2,2024-04-02
