Index,위도값,경도값,RSE_ID,ExitingCount,EnteringCount,Address,Date
73,35.576942,129.133043,362002668,23196,23001,대한민국 울산광역시 울주군 언양읍 직동리 945-20,2024-04-26
45,35.27917,129.11472,262002290,47466,45149,대한민국 부산광역시 금정구 선동 560,2024-04-27
20,35.91542,128.61307,262003565,75197,76243,대한민국 대구광역시 북구 검단동 1393-216,2024-04-30
52,35.87467,128.73658,262003435,44727,45593,대한민국 대구광역시 동구 괴전동 산24-2,2024-04-28
82,36.13882,128.06343,262004287,21006,21006,대한민국 경상북도 김천시 봉산면 신리 325-4,2024-04-30
92,36.73039,127.26357,162005500,3574,3555,대한민국 충청남도 천안시 동남구 수신면 신풍리 462-2,2024-04-30
38,36.39055,127.42292,162005018,73327,73513,대한민국 대전광역시 대덕구 연축동 278,2024-04-28
62,35.829574,129.119259,362003007,28046,28012,대한민국 경상북도 경주시 건천읍 모량리 382-1,2024-04-25
95,36.71603,127.34914,162005422,285,286,대한민국 충청북도 청주시 흥덕구 옥산면 장남리 287,2024-04-27
19,36.46767,127.42078,162005108,79403,79891,대한민국 충청북도 청주시 서원구 현도면 매봉리 344-1,2024-04-25
18,35.91542,128.61307,262003565,80236,81950,대한민국 대구광역시 북구 검단동 1393-216,2024-04-25
84,36.28039,127.67961,262004734,18586,18596,대한민국 충청북도 옥천군 동이면 조령리 산40-2,2024-04-23
47,35.877,128.76547,262003406,42351,42379,대한민국 경상북도 경산시 하양읍 청천리 412-3,2024-04-25
33,36.04974,128.40865,262003880,66987,67756,대한민국 경상북도 칠곡군 석적읍 포남리 597-8,2024-04-27
54,35.829574,129.119259,362003007,35575,35211,대한민국 경상북도 경주시 건천읍 모량리 382-1,2024-04-23
48,35.877,128.76547,262003406,39912,40088,대한민국 경상북도 경산시 하양읍 청천리 412-3,2024-04-30
31,36.64024,127.37826,162005324,77625,77808,대한민국 충청북도 청주시 흥덕구 강내면 학천리 511-4,2024-04-28
13,37.37306,127.10556,462006299,105558,108136,대한민국 경기도 성남시 분당구 성남대로407번길 26,2024-04-24
10,37.15923,127.08844,162006058,125513,128554,대한민국 경기도 오산시 부산동 157-3,2024-04-29
74,35.793205,129.193445,362002920,23061,23148,대한민국 경상북도 경주시 내남면 망성리 15-10,2024-04-26
62,36.15981,128.22747,262004121,26496,26538,대한민국 경상북도 김천시 아포읍 봉산리 1229-11,2024-04-30
11,37.05325,127.13641,162005925,110828,107952,대한민국 경기도 안성시 원곡면 지문리 산133-4,2024-04-27
36,36.73389,127.28353,162005480,63203,63033,대한민국 충청남도 천안시 동남구 수신면 속창리 143-11,2024-04-27
10,36.97148,127.16928,162005828,119748,126018,대한민국 경기도 안성시 공도읍 건천리 189-4,2024-04-23
0,37.16678,127.09193,162006064,164434,166669,대한민국 경기도 화성시 송동 425-9,2024-04-25
3,36.88167,127.18917,162005723,144154,143038,대한민국 충청남도 천안시 서북구 성거읍 정촌리 232-38,2024-04-28
78,36.27095,127.831,262004582,22824,22807,대한민국 충청북도 영동군 용산면 구촌리 13-1,2024-04-24
32,36.04974,128.40865,262003880,76221,77209,대한민국 경상북도 칠곡군 석적읍 포남리 597-8,2024-04-28
85,36.94295,127.19273,162005791,14396,14466,대한민국 충청남도 천안시 서북구 입장면 연곡길 407,2024-04-24
76,35.87981,128.83829,262003338,22339,22600,대한민국 경상북도 경산시 진량읍 문천리 산26-2,2024-04-30
59,36.48658,127.42949,162005134,30818,30802,대한민국 충청북도 청주시 서원구 현도면 선동리 284-13,2024-04-24
21,35.95647,128.45522,262003756,72533,73896,대한민국 경상북도 칠곡군 지천면 연화리 772-11,2024-04-26
65,35.28722,129.10333,262002305,30519,34223,대한민국 부산광역시 금정구 노포동 1112-8,2024-04-23
43,37.23222,127.10694,162006144,46550,48102,대한민국 경기도 용인시 기흥구 공세동 656-16,2024-04-26
41,36.3585,127.45505,162004969,53935,53376,대한민국 대전광역시 대덕구 비래동 23-3번지,2024-04-24
62,35.829574,129.119259,362003007,27635,27555,대한민국 경상북도 경주시 건천읍 모량리 382-1,2024-04-26
81,36.22234,127.90606,262004479,22473,22347,대한민국 충청북도 영동군 황간면 마산리 269-2,2024-04-23
83,36.28039,127.67961,262004734,19991,19999,대한민국 충청북도 옥천군 동이면 조령리 산40-2,2024-04-27
20,35.91571,128.65202,262003528,79096,79160,대한민국 대구광역시 동구 도동 231,2024-04-27
69,36.15981,128.22747,262004121,30511,31123,대한민국 경상북도 김천시 아포읍 봉산리 1229-11,2024-04-29
58,35.25667,129.10056,462002266,31442,30750,대한민국 부산광역시 금정구 구서동 34,2024-04-25
84,36.94295,127.19273,162005791,19494,19479,대한민국 충청남도 천안시 서북구 입장면 연곡길 407,2024-04-29
28,36.70424,127.34704,162005405,68397,68920,대한민국 충청북도 청주시 흥덕구 옥산면 장남리 363-17,2024-04-25
76,36.27954,127.69244,262004721,23979,23987,대한민국 충청북도 옥천군 동이면 조령리 산26-3,2024-04-23
67,35.918066,129.006783,362003161,32142,32289,대한민국 경상북도 영천시 북안면 임포리 385-5,2024-04-28
2,37.27944,127.10353,162006192,130774,125323,대한민국 경기도 용인시 기흥구 신갈동 384-10,2024-04-26
72,36.29508,127.6018,262004808,25866,25614,대한민국 충청북도 옥천군 옥천읍 구일리 817-11,2024-04-23
52,37.405833,127.094167,162006338,40859,47517,대한민국 경기도 성남시 분당구 삼평동 418-1,2024-04-25
9,36.97148,127.16928,162005828,117173,123703,대한민국 경기도 안성시 공도읍 건천리 189-4,2024-04-27
92,36.73039,127.26357,162005500,7269,7264,대한민국 충청남도 천안시 동남구 수신면 신풍리 462-2,2024-04-28
63,35.724461,129.194676,362002843,31417,31399,대한민국 경상북도 경주시 내남면 월산리 1097-3,2024-04-23
23,35.90452,128.56087,262003614,82128,76569,대한민국 대구광역시 북구 노곡로3길 23-3,2024-04-29
82,36.21047,127.94939,262004437,22568,22565,대한민국 충청북도 영동군 추풍령면 계룡리 241-1,2024-04-29
26,36.74568,127.22726,162005536,69391,69579,대한민국 충청남도 천안시 동남구 성남면 신사리 산88-15,2024-04-26
22,35.91571,128.65202,262003528,75326,75213,대한민국 대구광역시 동구 도동 231,2024-04-24
14,37.31222,127.10583,162006230,94469,87780,대한민국 경기도 용인시 기흥구 보정동 1105-2,2024-04-30
49,37.23222,127.10694,162006144,38901,40407,대한민국 경기도 용인시 기흥구 공세동 656-16,2024-04-23
89,37.33278,127.10361,462006250,7182,7140,대한민국 경기도 용인시 수지구 죽전동 866-14,2024-04-26
26,36.58449,127.42647,162005243,75643,61576,대한민국 충청북도 청주시 서원구 남이면 석실리 365-12,2024-04-29
28,36.04974,128.40865,262003880,74259,74880,대한민국 경상북도 칠곡군 석적읍 포남리 597-8,2024-04-29
35,36.42571,127.41682,162005060,61120,62376,대한민국 대전광역시 대덕구 상서동 359-19,2024-04-25
72,36.281111,127.755556,462004623,25065,25042,대한민국 충청북도 옥천군 청성면 조천리 253,2024-04-24
73,35.576942,129.133043,362002668,23574,23172,대한민국 울산광역시 울주군 언양읍 직동리 945-20,2024-04-30
7,37.2571,127.10411,162006167,121748,123823,대한민국 경기도 용인시 기흥구 보라동 380-8,2024-04-23
4,37.2571,127.10411,162006167,123727,125213,대한민국 경기도 용인시 기흥구 보라동 380-8,2024-04-25
83,36.13882,128.06343,262004287,21113,20972,대한민국 경상북도 김천시 봉산면 신리 325-4,2024-04-25
23,35.91571,128.65202,262003528,69380,68770,대한민국 대구광역시 동구 도동 231,2024-04-23
94,36.65787,127.36991,162005342,3324,3344,대한민국 충청북도 청주시 흥덕구 옥산면 경부고속도로 309,2024-04-26
5,36.88167,127.18917,162005723,124441,124260,대한민국 충청남도 천안시 서북구 성거읍 정촌리 232-38,2024-04-24
91,36.85541,127.18106,162005692,6550,6561,대한민국 충청남도 천안시 서북구 성거읍 요방리 117-3,2024-04-30
42,36.3585,127.45505,162004969,53198,52689,대한민국 대전광역시 대덕구 비래동 23-3번지,2024-04-27
67,35.918066,129.006783,362003161,25619,25831,대한민국 경상북도 영천시 북안면 임포리 385-5,2024-04-25
1,37.09439,127.12184,162005969,145789,146866,대한민국 경기도 용인시 처인구 남사읍 진목리 949-383,2024-04-25
26,36.70424,127.34704,162005405,70909,71756,대한민국 충청북도 청주시 흥덕구 옥산면 장남리 363-17,2024-04-30
2,37.12583,127.09694,162006016,136684,137355,대한민국 경기도 평택시 진위면 동천리 602-2,2024-04-23
23,35.90452,128.56087,262003614,73471,69611,대한민국 대구광역시 북구 노곡로3길 23-3,2024-04-25
93,36.73039,127.26357,162005500,5315,5296,대한민국 충청남도 천안시 동남구 수신면 신풍리 462-2,2024-04-26
35,36.74568,127.22726,162005536,69259,69367,대한민국 충청남도 천안시 동남구 성남면 신사리 산88-15,2024-04-29
29,36.72039,127.33097,162005435,73716,73199,대한민국 충청북도 청주시 흥덕구 옥산면 사정리 산22-1,2024-04-29
42,35.90045,128.67529,262003501,49935,50389,대한민국 대구광역시 동구 둔산동 594-2,2024-04-30
63,36.48658,127.42949,162005134,26276,26248,대한민국 충청북도 청주시 서원구 현도면 선동리 284-13,2024-04-30
19,36.72039,127.33097,162005435,77970,78006,대한민국 충청북도 청주시 흥덕구 옥산면 사정리 산22-1,2024-04-30
25,35.90452,128.56087,262003614,76266,71720,대한민국 대구광역시 북구 노곡로3길 23-3,2024-04-27
40,36.61108,127.40018,162005284,60712,57460,대한민국 충청북도 청주시 흥덕구 신전동 157-3,2024-04-29
79,36.19304,128.00252,262004374,23117,23077,대한민국 경상북도 김천시 봉산면 광천리 798,2024-04-23
42,35.90045,128.67529,262003501,59693,61743,대한민국 대구광역시 동구 둔산동 594-2,2024-04-28
48,35.877,128.76547,262003406,43420,43278,대한민국 경상북도 경산시 하양읍 청천리 412-3,2024-04-27
5,37.27944,127.10353,162006192,142730,135305,대한민국 경기도 용인시 기흥구 신갈동 384-10,2024-04-28
5,37.2571,127.10411,162006167,127092,128684,대한민국 경기도 용인시 기흥구 보라동 380-8,2024-04-30
37,36.39055,127.42292,162005018,62628,63942,대한민국 대전광역시 대덕구 연축동 278,2024-04-24
26,35.97664,128.43275,262003788,71606,70793,대한민국 경상북도 칠곡군 왜관읍 삼청리 21-29번지,2024-04-25
55,36.48658,127.42949,162005134,35325,35330,대한민국 충청북도 청주시 서원구 현도면 선동리 284-13,2024-04-23
53,36.1362,128.31906,262004031,37388,38095,대한민국 경상북도 구미시 도량동 449,2024-04-30
67,35.918066,129.006783,362003161,24411,24827,대한민국 경상북도 영천시 북안면 임포리 385-5,2024-04-26
53,37.23222,127.10694,162006144,40997,42362,대한민국 경기도 용인시 기흥구 공세동 656-16,2024-04-28
56,35.32861,129.05694,262002365,32989,32956,대한민국 경상남도 양산시 동면 내송리 산76-1,2024-04-26
8,37.34333,127.10556,162006266,115392,113802,대한민국 경기도 성남시 분당구 구미동 173-2,2024-04-26
49,35.87467,128.73658,262003435,39061,39144,대한민국 대구광역시 동구 괴전동 산24-2,2024-04-30
60,,,462015611,32496,32625,,2024-04-23
74,36.27247,127.73767,262004680,29977,29956,대한민국 충청북도 영동군 용산면 부상리 408-1,2024-04-28
58,35.54778,129.12444,262002639,28700,28940,대한민국 울산광역시 울주군 삼남읍 신화리 산39-3,2024-04-26
6,36.88167,127.18917,162005723,116071,115465,대한민국 충청남도 천안시 서북구 성거읍 정촌리 232-38,2024-04-26
39,36.07013,128.37529,262003923,57964,58678,대한민국 경상북도 구미시 오태동 228-2,2024-04-25
